comment,mark

"Счет будет не большой 2:1, а в чью? Обычно если смотрю матч по тв, Спартак проигрывает.🤣",1

"Динамо и ЦСКА московского Дерби главных Спартак, чем Зенит",1

"[id580785|Роман], даже не мечтай. Проиграют. Уже лет 8 дома проигрывают.",1

Квинсиус промес,1

"Ну что,Спартак сегодня потерпит первое поражение.С нетерпением жду 🤣🤣🤣",1

Смолов забьет,1

Блин ну Смолову не могу простить пенальти🤷‍♂️🤷‍♂️🤷‍♂️,1

"Никита, Никита...🙁",1

У Сазонова брак космический,1

Так чернов играть то не будет скорее всего,1

"Шо ту х*йня, шо эта х*йня",0

сазонов топ,1

Ну тут Сазонов по всем статьям,1

А Сазонов с права?),1

"Литвинов все таки сейчас в основе закрепился, а не Чернов",1

А Чернов тут каким краем если играть будет Литвинов?,1

Встретятся два дна👎🤣,0

Оооо предатель Никитка,0

"Сравнили основного защитника и игрока ротации, молодцы.",1

"Динамо и ЦСКА московского Дерби главных Спартак, чем Зенит",1

Селя,1

Шунич,1

"Шунин < Селихов
Это факт.",1

Саня лучший,1

Шуня❤,1

Селихов топ,1

Селя  за тебя всей душой,1

Шунин ❤🤗,1

Селя💪💪💪,1

Селих,1

Селя💪💪💪🔴🔴,1

Селя,1

Селихов,1

СЕЛИХОВ,1

Селихов Саша👏👏👏,1

"Селихов конечно, он самый лучший,  красавчик просто.  Остальные дырявые и плевать на них,. Кроме Селихова все слабые",0

Селя ❤️🤍,1

Селих,1

Динамо всегда проигрывала Спартаку !но все равно в надежде что динамовцы покажут Им законное место !,1

"Не слежу за рпл помойкой, но всё же вопрос, а где максименко?",0

Шунин,1

"Селя ❤️, но Масю жалко уходить ему надо",1

Селихов лучший,1

Сейвы 🤣 они это не умеют 🤣,1

СЕЛИХОВ,1

Шуня💙🤍,1

Селя на ноль отыграй,1

Селихов,1

Шунин👍,1

Шуня,1

Шунин Однозначно!,1

шунин 3 от факела 😄,1

"При всем уважении к Антону, Саня всё таки больше симпатизирует😊",1

Селихов на удивление хорошо начал.,1

Селихов,1

Шуня❤,1

1:2 победа вратаря Спартака,1

Шуня сегодня не пропустит ⚽,1

Селя✊🏻,1

Селя однозначно! Он надёжнее.,1

Селя❤️,1

"Селя, мы верим в тебя",1

"По факту, плюс минус один уровень. Шунин более опытный, а Селихов более волевой, на характере играет.",1

Саня,1

Шунин,1

"Шунин г💩вно и недоразумение для Динамо,хз для чего он в клубе",0

Шунин,1

"Селя, тащи сегодня!!!",1

Селя❤,1

Пятый сухарь Шунина.,1

Стена Шунин,1

Урал возьмет 3 очка,1

Вперёд шмели,1

За Урал!🧡🖤💚,1

Урал вперёд шмели💪🧡🖤🐝🐝🙏🙏,1

Ничья будет,1

Впепёд урал,1

Изи для Нижнего,1

Вперёд за Нижний🔥,1

НН,1

Вперёд Урал,1

Урал победи,1

Два дна,0

Сегодня будет первая победа Урала,1

ФНЛ-лучшая лига мира,1

"Крылья сыграли в ничью кайф, и либо победа Урала либо ничья и оренбург впереди!!!",1

НН в день города не подкачай!),1

Урал👍💪,1

Где газинский?,1

Будет 0:0,1

3:1,1

Вперед Ураллмаш хватит всем сливаться!!!!🐝🐝🐝🐝,1

Удачи нн,1

Нижний выиграет,1

За Урал,1

Только Нижний только победа🤍💙,1

А где Шатов?,1

Удачи шмелям!,1

"Урал, давай!",1

Фан ФК ЗЕНИТ. Фанам Пари НН. Вперёд за победой,1

Как не блевать от такого футбола,0

"Мертвейшие 32 минуты, переключил на пляжку",1

Надеюсь Урал заберёт 3 очка,1

Вперёд НН 🔥🔥🔥,1

Лига приколов где пенальти? 😁😁😁,1

"Чистый пенальти не поставили, судьи спасибо...",1

"Удачи, Динамо! ⚽️🔥👏",1

"Удачи Динамо, победы Спартаку !",1

За красивый футбол !,1

"Слава богу, что музыка не шлак",1

Победы спартаку!счет будет по моему мнению 1:4,1

Спартак раебет их,0

Некуевый такой простой водила на лексусе😂,0

Ждём красивый футбол! 🔥🔥🔥,1

"Все видели?? там сегодня Горняк и Торос в товарках мутняк наигрывают. Инфу бесплатно надежный источник слил, в прошлый раз многие тут подняли на нем)) Кто просил контакты - есть по хштг #halva2008",1

Динамо❤,1

"Аааа так вот как выгледят эти придурки, которые открывают окна и музыку на всю улицу...",0

"Такое себе.. ещё это ""с кайфом""🤦‍♂️",1

"Лишь бы матч не испортил судья, а так дерби это всегда кайф 😎",1

Опять Антошка против Дна😆,0

Надеюсь будет заруба,1

Два брата сегодня покажут мощный футбол,1

НН с днём города! Подарите победу!😊 Екб тоже с днём города!) Интересный будет матч с праздником нас🤝,1

"Ну сегодня проверим, действительно ли мы ""вернулись править"" или нет",1

Победы Динамо,1

"банана банана мама,в жопу в*ебем Московское Днонамо",0

Если Спартак покажет сегодня игру то есть возможность стать чемпионом,1

Поставил крупно всем удачи,1

"Динамо разорвет спиртяк!
Удачи Динамо от ЦСКА!!!",0

"1:2 Динамо.
А так -много голов будет, если Зенит валять не будет дурака, то 9::0 в Питере должно быть.
Но скорее всего 3 забьют и успокоятся.",1

"Фёдор, жги 🔥",1

Динамо жги свиней нужно тормозить,1

"Не могли дерби поставить в 20,00",1

Спартак,1

Динамо удачи!!,1

Спартак вперёд к победе!,1

"Уже гоним к стадику заправляться перед дерби! Всем отличной игры, надеюсь😅 Спартак победит!!!)))",1

"Лучшее дерби России это ЦСКА Спартак , я ненавижу Спартак , но уважаю )))",1

Будет жарко 🔥,1

Очень сильно хочу чтобы победило динамо. Яшин-бог,1

Равная игра...,1

Игра была равна...,1

"Скучный матч, 2 автобуса бодались. Куда эта лига скатывается…",0

Равная игра. Факелу удачи в дальнейшем,1

"кс конечно скатились вообще по полной,что то скучные стали и не интересные,как вот даже прошлый сезон такие атаки были ,на скоростях а сеичас........",1

За факелом будут ещё победы,1

"КРЫЛЬЯ ЕЩЕ СОВСЕМ СЫРЫЕ,НОВЫЕ ИГРОКИ ВСЕ",1

"В принципе, кроме поражения  с ЦСКА, Факел дышит ровно со всеми",1

"Обидно за ""Крылья"", разлетелись классные игроки.",1

Игра была равна играли два гавна,1

"Почему то все решили что игра была скучной, лол, были атаки постоянно, была быстрая игра",1

Почему в воскресенье никого не показываете?,1

"Эх, Динамо обязательно победит и обыграет тот нафиг Спартак, Динамо👍👍👍👍👍👍👍👍👍👍, Спартак 👎👎👎👎👎👎👎👎👎👎👎👎",0

Цска ахмат могли бы показать,1

Зенит-Торпедо 5-0,1

Ростов мы с тобой давай только победу принеси нам 💪💪💪👍,1

Завтра мы открываем игровой день. Нужна только победа!!!,1

НИЧЬЯ с факелом ПОЗОРНЕЕ чем проигрыш ФАКЕЛУ..,1

"скриньте,Локомотив с Химками 3 очка заберет!",1

ВПЕРЕД ХИМКИ,1

Могли бы в воскресенье хоть кого-нибудь показать по Матч ТВ,1

А Срач тв снова в своём репертуаре.. 2 матча из всего тура к показу..... Это позор...,0

Кто может взять в юношесккю команду рпл?,1

"Урал, Спартак - победа.
Зенит 9 : 0. Я был на прекрасном матче, когда Локомотив эту помойку с ЗИЛа 8:0 вынес в Черкизово.",1

Он   же правду говорит,1

Химки сила красно-чёрная машина ♥️🖤!!!,1

НН победит!,1

Время МСК или как всегда Китайское?,1

Хочет кто поднять норм?,1

Офигеть какой кеф на Торпедо 🤣🤣🤣,1

А турнирную таблицу не пробовали выставлять!!!!,1

"Круто, если Торпедо выиграет.",1

Могли бы и в воскресенье хотя бы один матч показать на общедоступном канале.,1

"Ну что, готовы смотреть на то, как сегодня будут топить мясных, чтобы немытые вышли на 1 место? 🤔",1

Поставил крупно всем удачи,1

"Мобильный интернет в России тормозной, придётся смотреть обзор по ТВ...",1

"Победа 1
Победа 2
Ничья 
Победа 1",1

Урал-Пари будут показывать ?,1

НН💙🤍,1

"Торпедо выиграет 100% , Зенит не потянет эту игру!!!!",1

Хорош!,1

"Выделяется,талантливый парень",1

"Молодец,старался .",1

Они выигрывать вообще собираются?,1

Молодец👍,1

Я бы ему две статуэтки отдал.,1

"Как думаете, заменит Ежова?",1

"Видно что парень с перспективой, его кажись сочи забирают?",1

Будущий игрок сб 🇦🇲👍,1

Не согласен,1

Мой полный тёзка - так держать!,1

значит в Самаре не задержится...,1

Ничья норм всех поздравляю,1

Ничья. Опять.,1

Снова упустили свою победу🙁(,1

"В принципе равный матч. Нравится, что факел не сидит в обороне, весь матч в прессинге. Крылья в первом и вовсе в автобусе сидели, во втором на 15 минут хватило и игру Глушенкова",1

Ну эта ничья хоть интересная 👍,1

"Крылья в ФНЛ, дальше соперники сложнее",1

"Нет центра, нет флангов. Коваленко красавец, но к чему это теперь?",1

"Нормальная Игра была 

Но хотелось чтобы факел этих пернатых переиграл",1

По суть играла была вообще интересная и нормальная две команды молодцы,1

"Те кто писал, что чемпионат после первого тура можно заканчивать, когда КС были на первом месте, получайте, как говорится. Больше ни одной победы там, где нужно было выигрывать",1

"И опять Факел не проиграл, когда Нагучев комментировал😄",1

"Факелу прям не хватает индивидуального мастерства это видно конечно, а так молодцы конечно, борьба за мяч хорошая, прессинг даже был.
Крылья расстроили немного, ожидал от них большего в этом матче, много ошибок тоже в передачах. 
Игра в общем полностью по счету получилась.",1

"Мучительный матч из разряда ""Ожидание/реальность""😐",1

"На выезде ничья, нормалек.",1

"Там игрок Факела с бородой, всё время матерился))",1

Позор ссаный,0

"Крыльям, думаю, сложно будет. Но я уверен, что они расправят свои крылья и покажут свой уровень!",1

Хочу играть за КС,1

Битва говна с мочей),0

"Желаю, чтоб Факел остался в РПЛ.
Только б Уфы не было.",1

Тухло,0

"Недобомжи эксперты выше, я смотрю😆",0

"Похоже, нынче судьба самарской команды не вызывает оптимизма - ну, возможно, в ""переходнике"" сможет ""зацепиться"" за высший дивизион, и это верх ожиданий. То, с каким азартом актив ""Крыльев"" распродается, слегка удивляет...А при всём уважении к соседям по региону, ""Факелу"", должен сказать, что к 30-му туру не выбитых им игроков в лиге не останется. Сегодня чудом избежал убийства вратарь И.Ломаев - судья, то ли проплаченный, то ли тупой, даже фола не определил! А молодой Шитов явно после игры будет направлен на установление инвалидности - так убивать людей недопустимо, даже, если ты по натуре хулиган и злодей! Неужели Высшая судейская инстанция смотрит на подобные художества сквозь пальцы? Зачем? Это красит футбол? Очень не уверен...",1

Факел мёртвый. Прямой вылет в первый дивизион.,1

Завтра Спартак вынесет мусор)😏🤫,0

Будет битва за выживание,1

"Счёт по игре, в первом тайме Крылья вообще были мёртвые.....",1

Ну когда наконец-то выигрывать?,1

"Очередная с... а ничья больше на руку крыльям чем нам, тем более они поднялись повыше теперь мы же можем опустится! Но все равно спасибо командам за интересный матч, в первом тайме мы играли лучше толком ничего не дали сделать крыльям, во втором крыльям играли лучше. В принципе ничья по делу. Удачи крыльям. У вас футбольный город, болел могло быть и больше. Ждал тыс. 20) но из-за этого фан уйди так и получилось меньше. Вообщем ждите приедем еще за очками😏🙂",1

Факел вперёд!),1

Крылья даже таких лузеров как Факел не способна обыграть...,0

"Крылья и Факел скоростные команды. Такие клубы и болелы просто обязаны быть на долго в РПЛ! И я уверен мы и крылья поборемся с зенитом и с спартаком в группе.  А москва, питер ваши уже многих достали.",1

"ничьи это хлеб факела, так и будут играть в ничьи 😖",1

"Торпедо и Урал в ФНЛ, 98%",1

"4923 зрителей

Позор чиновникам",0

Молодцы. Хорошая игра.,1

Крылья потихоньку приуныли после поражения от зенита теперь немогут собраться в прошлом сезоне играли полутче,1

"Топы вывозят за счёт легионеров.Убери их и Факел бы показал себя.У нас почти весь состав впервые в РПЛ,но легко никому не  будет.Вперед Воронеж!",1

С следующем туре спартОЧЕК максимум увезет с Воронежа.Давно не варились с Воронежском котле до готовности с прожаркой медиум🤣,0

Крылья очень плохо вчера отыграли. Фланги были ниочем. Только во втором тайме было подобие футбола. И тупой гол имени Ломаева с углового. А по сути игра была равна. Продолжение знают многие,1

"КС хотели выиграть, начало второго тайма играли очень хорошо, но после ни в чём не превосходили соперника.",1

Харош,1

"Все происходит так, как и сказал комментатор)",1

Ломаев валенок,0

"Играть некому ваще, это дно",0

Крутой матч,1

Самара вперёд ✊,1

Вся Россия чернозем за Факел,1

пару лет.факел станет как сочи,1

Факела победы,1

Липового посадите на банку и забудьте про него,0

как же факел отскакивает,1

воронежские наглецы,0

Комментатор за крылышек. Ещё и нетрадиционный,1

Так и сыграют,1

Крылья плохо.просто  дно,0

Спасибо за Оз факел,1

Крылья конченые играли хуже факела,0

"Нет ,не играет нынче Самарская область.ждем ,но надежда тает.жаль...",1

Макс Глушенков супер форвард!,1

Ломаева комяк,1

Я ж говорил что Максимов забьёт,1

Самарский воротчик просто клоун.🤗🤣🤣,0

"Ломаев конеш клоун, выходи, забирай, ну или в ближний не пускай...",0

"То момент, когда ставил на ничью",1

"По мне так в этом моменте фол, атакующий игрок на защитника руку положил и не дал выпрыгнуть!",1

Даааааа,1

"Где пенальти в ворота крыльев.толчек игрока факела ни чего, толчек игрока крыльев фол.в одну минуту",1

ЛУЧШИЙ 🔥,1

Вперёд за Крылья!!!,1

Арбитр не честно судит,1

Забивать ещё надо,1

Запала Факела хватило ровно на 2 игры..,1

Голллллл,1

1-1,1

Интересно,1

Вся Россия чернозем за Факел,1

1-1 уже),1

Свинов очень странный. Если в конце первого затяжка времени была обусловлена травмой и отсутствием игрока на поле то на 55й минуте выжыдать когда к тебе подбежит противник и ты возьмёшь мяч мне не понятно. Измором решил брать!??,1

Самара дави факел,1

Глушенков чет завелся,1

Почему Глушенкову не дали играть в  спартаке?,1

Не повезло мужику. Первый матч разгром будет 😃 надо было после зенита чтоб не портить стату )),1

"Сразу напишу, чтобы 100500 раз люди один и тот же вопрос не задавали: у Ковардаева, к сожалению, нет категории PRO",1

"У Николая Николаевича будет старший тренер Николай Николаевич
Солидно",1

❗И.о. спортивного директора «Торпедо» стал 23-летний Георгий Менжинский – сын председателя совета директоров клуба Сергея Менжинского: ранее Георгий был руководителем второй команды «Торпедо» — «РБ Спорт»,1

...в понедельник Кержакова назначат.🤣😎⚽,1

"Гордеев хороший тренер, в Сатурне показал себя с положительной стороны",1

Завтра поздравим его счётом 7-0,1

"Шуленин за Сибирь играл, норм игрок был!",1

#СПАРТАКСОСАТЬ   🤡🤡🤡,0

Админ исправь Гончаренко,1

"Зенит победит, инфа 100",1

"Факелу удачи, желаю вам первой победы в сезоне!
Крылья 1:2 Факел",1

"Вау, Бейл",1

Бейл в составе Крыльев. Вот это опасно. Нужно за ним следить игрокам Факела,1

Чë сегодня футбик будет!?,1

"Вперёд, Факел, ощипай крылышки!",1

Сколько еще шуток про бейла будет?,1

Подскажите во сколько матч,1

Погнаааалииии,1

"Удачи обоим, но поболею за Факел, как за дерзкого новичка💪🙏",1

где Ежов,1

ЗИМОЮ!!!🔥🔥🔥,1

А на каком канале будет футбол,1

"С таким составом скоро 11 человек для старта не наберем...
Ежов похоже в Спартак уже отправился. Интересно спартак знает что есть и другие клубы для покупки игроков кроме КС ?...",1

Че Магаль не в старте?,1

Думаю Крылья☺,1

2-2,1

Крылья советов вперёд,1

"Крылья, мы пока еще верим в вас,надеемся и смотрим!👍",1

Ничья будет. 1 1 где то так.,1

"Мда... Ну и состав! У крыльев он лучше и там более опытнее ребята. Проиграем 1:3, 0:2. Всем приятного просмотра.",1

"Опа, Ежёва нет. Липовой получает тот самый единственный шанс, давай Липа воспользуйся им на все 100%",1

Сергей Божин добро пожаловать домой!!!,1

"Сегодня игра будет непростая Кс и Факелу нужно набирать очки, поэтому думаю будет игра открытая, но как мне кажется ошибки будут у всех желаю всем удачи Факелу и Кс удачи пусть это игра будет интересная, только не скучная.",1

Факел с баранкой уедет,1

Коваленко в Сочи?,1

Воронеж Орловская область за вас,1

Факел показывает приличный футбол. Жаль опыт в этой лиге новый. Надеюсь адаптируются.,1

"Вперёд Самара !! 
Мы с тобой !! 💚💙💚",1

"Крылья погасят Факел или Факел подпалит перья Крыльям, узнаем совсем скоро.",1

Удачи крылатые.✊,1

Где показывать будут?,1

"Думаю, боевой ничьей разойдутся",1

Почему не поставили пенальти в ворота крыльев,1

🤣а щас был толчек игрока крыльев,1

Нет,1

Встреча двух Русских команд.,1

Бейл?),1

где трансферы команда??? куда все деньги пропадают??,1

Я был прав ничья. Я ванга 🤣🤣🤣,1

Матч был не о чем...,1

Чуточку до победы крылышек не хватило,1

F.C.F.V ONLY FIRE 🔥 🔵⚪️🔴,1

"Удачи всем, главное без травм",1

Факел 💪,1

🔥🔥🔥,1

3-3,1

"Главное чтобы было Тб 2,5 а кто выиграет пох)",1

Кс фора -1.5 Верим.,1

Вперееееееееееееед За Крылья 👏👏👏👏👏,1

Победит сильнейший 💪,1

Вперед Факел🔵⚪🔥,1

"КРАСНОЕ ПЛАМЯ, БЕЛЫЙ И СИНИЙ
ПРИВЕЗИ НАМ ПОБЕДУ НАШ ФАКЕЛ ЛЮБИМЫЙ🤍❤️💙",1

Яркой игры обеим командам и первой победы Факелу.Вперёд Воронеж.Верим.,1

Надеюсь откроют его парни справа но самарцам тоже удачи надеюсь будет интересный футбол),1

Будет сложно но хочется верить в хороший результат . Хорошей игры и командам без травм  и без удалений,1

Место крылья в фнл,1

Всем победы ✌️,1

КС 💪,1

Факел мы с тобой!!!💙💪🏻💙,1

Удачи крыльям!,1

"Факел, парни постарайтесь, сожгите эти Крылья",1

Ничья походу будет,1

"Матч будет огонь, надеемся на нашу победу!",1

1:1,1

"ну что, будут сегодня жареные крылышки?",1

"Кс❤️, разорвите факел",1

"Глушенков красавец, от души парнишка играет",1

Са ма ра! 💪,1

Вперед Самара!!!!!!!!!!!!!!Потушите факел!!!!!,1

"Только Факел, только победа 🔵⚪️🔴",1

2-0,1

"Тьфу ты 
Мне на 1 фото показалось что там Тима Базука стоит🤣",1

Зачем на матч тв показывать этот матч,1

На первой Глушенков и Бэйл. Кто на второй фото?,1

Крылья💪,1

Вперёд Самара🇸🇱🇸🇱🇸🇱,1

Ничья будет,1

Только Факел))),1

Удачи крыльям.✊,1

3:3,1

За КС🇸🇱🇸🇱,1

"Крылышки свои ,буду болеть за них !😊",1

Победа Крыльев 3-0 скринте,1

факел)),1

0.0,1

Факел выйграет,1

Вперед крылья! После ничьей с уралом больше в Факел не верю. Позорники😆,0

"Только ФАКЕЛ!!! Только ПОБЕДА!!! 
МЫ ЗА ФАКЕЛ МЫ ПОВСЮДУ!!!",1

За КС удачи пацы,1

"Болеть наверное, за Факел буду, но Крыльям тоже удачи✊",1

Крылья ФАККЕЛ УДЕЛАЙТЕ.,1

Опять ночью,1

За факел ёпт,0

Не дают пенальти в ворота крыльев а тут же эпизод и нарушения факела толчек,1

два часа унылой безголевой ваты! Матч тв лучше бы любой фильм про Чака поставили бы чем это!,1

Самара!Потушите факел!,1

в сборную ему путь закрыт,1

"Блин, можно его хейтить, но для меня он останется тем радостным парнем, который заводил сборную на чм18",1

Великолепно,1

Пускай там и сидит рукаку,0

"Не Дзюба определился, а он еле клуб нашëл, не врите",1

"Что бы кто не говорил, но этот столб прилично так наколотил голов в Зените. Не каждый нападающий может похвастаться таким количеством голов",1

"Удачи, Дзюбинатор💪",1

"Охохохохо... Вот они там с Балотели то наведут шороху... ДЕРЖИСЬ ТУРЦИЯ! правда ещё не известно где больше шороху будет, на поле или за его пределами...",1

"Дзюба аккуратней  с онанизмом, там за это руки отрубают!!!))) 🤣",0

Дрочеров любят в Турции? Что-то новое.,0

Российский предатель😂,0

"Счастливого пути,бывший игрочишка бомжеграда.",0

"Как был голубой,так и остался",0

"Ну и отлично, в РПЛ воздух чище будет",1

Дзюба Дзюба …,1

Балотелли и Дзюба,1

Пусть там передернит может там кому-то понравиться,0

"Красава, но все же лучший Бомбардир Олег Веретенников!
А тут все голы затакливались а не забивались.",1

В этой стране Дзюбить нельзя...Лишь бы не попался 😎😂,1

"Техники ноль, чисто дерево",0

"Никогда не видел этого футболиста отличным игроком рпл
Но видел этого героя на ЧМ 2018
Который мы всю жизнь будем вспомнинать как чудесный сон, заглянувший в нашу страну",1

тяжело ему будет когда судьи не будут закрывать глаза на офсайды или на нарушения првил,1

Зачем писать всякие гадости пожелайте удачи что-то он делал отвечать будет сам удачи тебе Артём,1

Нам будет тебя не хватать..,1

Палено😂,0

Там же играет Балотелли. Короче два бревна нашли друг друга 🤣🤣🤣😆,0

"Как был хуилой, так и остался.",0

Это Суперлига или как?,1

"Даже по видео видно, что он не понял как принял и обработал мяч и так в 80 процентов случаев%, просто отскакивает , как от стенки",1

Да темыч давай жги за турок но мы помним тебя  зенит,1

"Господи, как же он неуклюже играет, как коряга какая то,удивительно откуда такая результативность. Разве что рост и ноги длинные решают",0

Забыть как страшный сон про этого зазвездившегося...,0

Отличная новость. Надеюсь мы его больше НИКОГДА не увидим,1

Артём играй и забивай!,1

"😂😂😂😂пздц вот это гол конечно , дзюба дзюба дзюба Анкара дзюба",0

"Ну что ж, мои поздравления, Рукаку 😏😁",0

"Удачи, Артём)",1

"Смотрю, тут много безгрешных аки ангелы с небес спустившиеся) 
Дзюбе удачи. И кто бы что не говорил, а 148 голов, это 148 голов",1

Гениальный и профисианальный игрок был,1

Дзюба на всегда останется в сердцах питерцев. Дзюба истинный зенитовец! Надо и стадион в Питере назвать - имени Дзюбы!,1

"Как он так согласился на команду из первой лиги Турции ,которая только в этом году вышла в премьер лигу",1

"Главное ""рукой не играй""😂",1

"Панина ещё возьмут пусть , для связки🤣🤣🤣",1

Вообще пох*й куда перешло это бревно,0

"Это не он определился с клубом, это клуб определился с ним",1

"Усиление. Поздравляю, Удачи!",1

бомжик,0

Лукаку с Рукаку перепутали просто🤷‍♂,0

"От одних только про ""бревно"" и ""руку"", а от зинитчиков полноценная защита бывшего игрока))  По честноку, молодцы👍",1

Дрочинью!!,0

да и йух на него..... пробитое дно,0

"Удачи, 22 !!!",1

Из какого года откопали этот гол??? Он сейчас и половину из этого сделать не сможет,1

Ееееее,1

"дятел.пусть ,😃",0

Какая техника... Какая обработка мяча... Аля бревно😄,0

Когда зажарило. Раньше ему надо было ехать в Германию или Италию,1

Писец клубу,0

"Вот там точно пахать придётся, а то фанаты могут и по балде настучать.",0

#ЗЕНИТСОСАТЬ   🤡🤡🤡,0

Можно было бы Ростов и Сочи показать,1

"Два матча по Матч тв, молодцы однако",1

"В воскресенье ни одного матча, так держать",1

😂😂😂😂😂 2.70 на спартак,1

матч тв позор показать из 8 игр на федеральном канале 2 матча это ПОЗОР ПОЛНЫЙ И НЕТ СЛОВ,0

За весь тур только два матча транслирует матч тв. 👎👎👎,1

Ну наконец-то кс по матч тв покажут,1

"КС 2 - 1 Факел
Урал 0 - 1 Пари НН
Химки 1 - 2 Локомотив
Динамо 1 - 3 Спартак
Ростов 2 - 2 Сочи
ЦСКА 1 - 0 Ахмат
Зенит 6 - 0 Торпедо
Краснодар 3 - 1 Оренбург",1

"Кс 2-0 факел
Урал 0-1 нн
Химки 1-1 локо
Динамо 1-3 Спартак
Ростов 2-2 сочи
Цска 2-1 ахмат
Зенит 5-0 торпедо
Краснодар 4-1 оренбург",1

"Крылья 2:2 Факел
Урал 1:2 НН
Химки 1:2 Локо
Динамо 1:3 Спартак
Ростов 2:1 Сочи
ЦСКА 3:0 Ахмат
Зенит 5:0 Торпедо
Краснодар 2:0 Оренбург",1

У меня тоже есть это приложение там можно все туры посмотреть с первого по тридцатый,1

Я один только сейчас это заметил?😂,1

Торпедо 🤟,1

Можно было показать ЦСКА Ахмат на матч тв а не крылья факел,1

"Кс 1:2 факел
Урал 1:0 пари нн
Химки 1:2 локомотив
Динамо 1:3 Спартак Ростов 2:0сочи
ЦСКА 1:1ахмат
Сенитка 1:2торпедо
Краснодар 5:0 Оренбург",1

"Крылья - Факел 3:1
Урал - Пари НН 2:1
Химки - Локомотив 2:1
Динамо - Спартак 3:2
Ростов - Сочи 2:0
ЦСКА - Ахмат 4:2
Зенит - Торпедо 4:1
Краснодар - Оренбург 2:1",1

"интересно, а почему в воскресение нет трансляции.",1

Ещё разок поиметь москвабад-бесценно👍,0

"КС 2 - 1 Факел
Урал 1 - 2 Пари НН
Химки 1 - 3 Локомотив
Динамо 0  - 3 Спартак
Ростов 1 - 2 Сочи
ЦСКА 3 - 1 Ахмат
Зенит 4 - 0 Торпедо
Краснодар 2- 0 Оренбург",1

У Газпрома деньги закончились? Почему Зенит - Торпедо не на матч ТВ?,1

цска Ахмат 1-3,1

Факел вперёд,1

Факел по-любому разъебёт крылья,0

"Крылья 1:2 
Урал 2:0 
Химки 2:1 
Динамо 1:2 
Ростов 1:1 
Цска 0:0 
Зенит 7:0 
Краснодар 3:2",1

"Почему в матче Химки- Локо, фаворит Локо?) Химки фаворит в этой встрече",1

Сочи в этом сезоне будет проигрывать можно ставить против будут бороться за 10 место,1

"Крылья - Факел 1:2
Урал - Пари НН 0:0
Химки - Локомотив 0:1
Динамо - Спартак 0:2
Ростов - Сочи 2:1
ЦСКА - Ахмат 2:0
Зенит - Торпедо 3:0
Краснодар - Оренбург 2:2",1

"Дерби! ⚪🔵🤜🤛🔴⚪
Вперед, Динамо! 
Урал 🐝 дома надо брать очки.",1

"Крылья советов-Факел 1:1
Урал-Пари НН 0:0
Химки-Локомотив 1:1
Динамо-Спартак 1:2
Ростов-Сочи 2:1
ЦСКА-Ахмат 3:0
Зенит-Торпедо 4:0
Краснодар-Оренбург 3:1",1

Кукуян опят дома играет?),1

"Крылья 1:0 факел 
Урал 1;2 НН 
Химки 0:2 локо 
Динамо 0;2спартак
Ростов 1:2 Сочи 
ЦСКА 4:1 Ахмат 
Зенит 4:1 тарпедо
Краснодар 2;0 оренбург",1

"Правильно, зачем в воскресенье матчи показывать (ЦСКА Ахмат например), лучше какой-нибудь бетбум бильярд показать, это ж интереснее",1

Вперёд За Крылья🇸🇱💪,1

Что только факел теперь будут транслировать.?,1

Вперёд урал. Надо обыгрывать нн,1

"Самара конечно футбольный город,но топим за Факел📢Я думаю заруба будет неплохая.И забито будет 4 мяча.Сколько и кому увидим завтра🤘",1

"У нас чё Факел какой-то особенный,каждый тур его транслируют",1

"Да, Факел опять по федеральному и следующий тоже, но там уже Спартак",1

"КС 3:1 Факел
Урал 1:1 Нижний
Химки 2:1 Локо
Динамо 0:1 Спартак
Ростов 1:1 Сочи
ЦСКА 2:1 Ахмат
Зенит 3:0 Торпедо
Краснодар 2:0 Оренбург",1

"КС 3:2 Факел
Урал 1:1 Пари НН
Химки 2:1 Локомотив
Динамо 0:2 Спартак
Ростов 3:1 Сочи
ЦСКА 3:1 Ахмат
Зенит 4:0Торпедо
Краснодар 3:0 Оренбург",1

"КС 2:1 ФАКЕЛ
Урал 1:2 НН
Химки 1:3 локомотив
Динамо 1:1 Спартак
Ростов 1:0 Сочи
ЦСКА 2:1 Ахмат 
Зенит 5:0 торпедо
Краснодар 3:0 оренбург",1

